"Step","SHF-Accum-v2-128 - score_train_avg","SHF-Accum-v2-128 - score_train_avg__MIN","SHF-Accum-v2-128 - score_train_avg__MAX","SHF-Accum-v2-64 - score_train_avg","SHF-Accum-v2-64 - score_train_avg__MIN","SHF-Accum-v2-64 - score_train_avg__MAX","SHF-Accum-v2-32 - score_train_avg","SHF-Accum-v2-32 - score_train_avg__MIN","SHF-Accum-v2-32 - score_train_avg__MAX","SHF-Accum-v2-16 - score_train_avg","SHF-Accum-v2-16 - score_train_avg__MIN","SHF-Accum-v2-16 - score_train_avg__MAX","SHF-Accum-v2-8 - score_train_avg","SHF-Accum-v2-8 - score_train_avg__MIN","SHF-Accum-v2-8 - score_train_avg__MAX","SHF-Accum-v2-4 - score_train_avg","SHF-Accum-v2-4 - score_train_avg__MIN","SHF-Accum-v2-4 - score_train_avg__MAX","SHF-Accum-v2-3 - score_train_avg","SHF-Accum-v2-3 - score_train_avg__MIN","SHF-Accum-v2-3 - score_train_avg__MAX","SHF-Accum-v2-2 - score_train_avg","SHF-Accum-v2-2 - score_train_avg__MIN","SHF-Accum-v2-2 - score_train_avg__MAX","SHF-Accum-v2-1 - score_train_avg","SHF-Accum-v2-1 - score_train_avg__MIN","SHF-Accum-v2-1 - score_train_avg__MAX","SHF-Accum-v2-0 - score_train_avg","SHF-Accum-v2-0 - score_train_avg__MIN","SHF-Accum-v2-0 - score_train_avg__MAX"
"60","","","","","","","","","","","","","","","","-0.41046142578125","-0.41046142578125","-0.41046142578125","-0.1085205078125","-0.1085205078125","-0.1085205078125","1.69110107421875","1.69110107421875","1.69110107421875","2.294189453125","2.294189453125","2.294189453125","","",""
"61","","","","","","","","","","","","","","","","","","","","","","","","","-1.061767578125","-1.061767578125","-1.061767578125","","",""
"62","","","","","","","","","","","","","","","","","","","","","","-0.93646240234375","-0.93646240234375","-0.93646240234375","-0.678497314453125","-0.678497314453125","-0.678497314453125","","",""
"63","","","","","","","","","","","","","","","","","","","-1.0031661987304688","-1.0031661987304688","-1.0031661987304688","","","","-1.573974609375","-1.573974609375","-1.573974609375","","",""
"64","","","","-2.341748684644699","-2.341748684644699","-2.341748684644699","-1.985103726387024","-1.985103726387024","-1.985103726387024","-1.6139800548553467","-1.6139800548553467","-1.6139800548553467","-0.7804954051971436","-0.7804954051971436","-0.7804954051971436","-0.9332256317138672","-0.9332256317138672","-0.9332256317138672","","","","-0.9543647766113281","-0.9543647766113281","-0.9543647766113281","-0.5099163055419922","-0.5099163055419922","-0.5099163055419922","","",""
"65","","","","","","","","","","","","","","","","","","","","","","","","","-1.956298828125","-1.956298828125","-1.956298828125","","",""
"66","","","","","","","","","","","","","","","","","","","-1.386474609375","-1.386474609375","-1.386474609375","-1.6248779296875","-1.6248779296875","-1.6248779296875","-1.47613525390625","-1.47613525390625","-1.47613525390625","","",""
"67","","","","","","","","","","","","","","","","","","","","","","","","","0.7738037109375","0.7738037109375","0.7738037109375","","",""
"68","","","","","","","","","","","","","","","","-1.6505770683288574","-1.6505770683288574","-1.6505770683288574","","","","-1.583404541015625","-1.583404541015625","-1.583404541015625","-2.91650390625","-2.91650390625","-2.91650390625","","",""
"69","","","","","","","","","","","","","","","","","","","-1.50396728515625","-1.50396728515625","-1.50396728515625","","","","-1.467041015625","-1.467041015625","-1.467041015625","","",""
"70","","","","","","","","","","","","","","","","","","","","","","-2.7320556640625","-2.7320556640625","-2.7320556640625","-3.90625","-3.90625","-3.90625","","",""
"71","","","","","","","","","","","","","","","","","","","","","","","","","-1.2389144897460938","-1.2389144897460938","-1.2389144897460938","","",""
"72","","","","","","","","","","","","","-1.9948530197143555","-1.9948530197143555","-1.9948530197143555","-2.320587158203125","-2.320587158203125","-2.320587158203125","-2.6769536336263022","-2.6769536336263022","-2.6769536336263022","-1.98077392578125","-1.98077392578125","-1.98077392578125","-2.67919921875","-2.67919921875","-2.67919921875","","",""
"73","","","","","","","","","","","","","","","","","","","","","","","","","-1.955078125","-1.955078125","-1.955078125","","",""
"74","","","","","","","","","","","","","","","","","","","","","","-0.8971748352050781","-0.8971748352050781","-0.8971748352050781","0.47997283935546875","0.47997283935546875","0.47997283935546875","","",""
"75","","","","","","","","","","","","","","","","","","","-1.7879486083984375","-1.7879486083984375","-1.7879486083984375","","","","-3.060546875","-3.060546875","-3.060546875","","",""
"76","","","","","","","","","","","","","","","","-2.012977361679077","-2.012977361679077","-2.012977361679077","","","","-3.1527099609375","-3.1527099609375","-3.1527099609375","-2.384521484375","-2.384521484375","-2.384521484375","","",""
